Date,State,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
12-05-2021,,Malawi,3664,99,1645,1920,24,0,6
13-05-2021,,Malaysia,8904,124,8601,179,7,0,1
14-05-2021,,Maldives,3369,15,2547,807,67,0,19
15-05-2021,,Mali,2513,124,1913,476,3,1,2
16-05-2021,,Malta,701,9,665,27,1,0,0
17-05-2021,,Mauritania,6208,156,4653,1399,37,0,223
18-05-2021,,Mauritius,344,10,332,2,0,0,0
19-05-2021,,Mexico,395489,44022,303810,47657,4973,342,8588
20-05-2021,,Moldova,23154,748,16154,6252,120,13,245
21-05-2021,,Monaco,116,4,104,8,0,0,0
22-05-2021,,Mongolia,289,0,222,67,1,0,4
23-05-2021,,Montenegro,2893,45,809,2039,94,2,70
24-05-2021,,Morocco,20887,316,16553,4018,609,3,115
25-05-2021,,Mozambique,1701,11,0,1690,32,0,0
26-05-2021,,Namibia,1843,8,101,1734,68,0,26
27-05-2021,,Nepal,18752,48,13754,4950,139,3,626
28-05-2021,,Netherlands,53413,6160,189,47064,419,1,0
29-05-2021,,New Zealand,1557,22,1514,21,1,0,1
30-05-2021,,Nicaragua,3439,108,2492,839,0,0,0
31-05-2021,,Niger,1132,69,1027,36,0,0,0
01-06-2021,,Nigeria,41180,860,18203,22117,648,2,829
02-06-2021,,North Macedonia,10213,466,5564,4183,127,6,137
03-06-2021,,Norway,9132,255,8752,125,15,0,0
04-06-2021,,Oman,77058,393,57028,19637,1053,9,1729
05-06-2021,,Pakistan,274289,5842,241026,27421,1176,20,3592
06-06-2021,,Panama,61442,1322,35086,25034,1146,28,955
07-06-2021,,Papua New Guinea,62,0,11,51,0,0,0
08-06-2021,,Paraguay,4548,43,2905,1600,104,2,111
09-06-2021,,Peru,389717,18418,272547,98752,13756,575,4697
10-06-2021,,Philippines,82040,1945,26446,53649,1592,13,336
11-06-2021,,Poland,43402,1676,32856,8870,337,5,103
12-06-2021,,Portugal,50299,1719,35375,13205,135,2,158
13-06-2021,,Qatar,109597,165,106328,3104,292,0,304
